id,question,image,is_correct
1,"Otrzymujesz maila od prezesa z prośbą o pilny przelew na nowe konto w piątek o 16:00.","pyt_1.webp",0
2,"Używasz menedżera haseł do generowania i przechowywania unikalnych ciągów dla każdego serwisu.","pyt_2.webp",1
3,"Link do logowania do twojego banku wygląda tak: www.twoj-bank.bezpieczenstwo-logowanie.xyz.","pyt_3.webp",0
4,"Włączasz uwierzytelnianie dwuskładnikowe na wszystkich ważnych kontach.","pyt_4.webp",1
5,"Podajesz swój numer PESEL na stronie z darmowymi grami na telefon.","pyt_5.webp",0
6,"Aktualizujesz system operacyjny natychmiast po pojawieniu się krytycznej łatki bezpieczeństwa.","pyt_6.webp",1
7,"Znajdujesz na parkingu pendrive z napisem ""Poufne Wynagrodzenia"" i od razu wpinasz go do firmowego laptopa.","pyt_7.webp",0
8,"Zawsze sprawdzasz czy strona ma certyfikat SSL przed podaniem danych karty płatniczej.","pyt_8.webp",1
9,"Otwierasz załącznik o nazwie ""faktura_VAT.exe"" od całkowicie nieznanego nadawcy.","pyt_9.webp",0
10,"Twoje hasło do głównego serwera firmowego to ""Admin12345"".","pyt_10.webp",0
11,"Próbujesz wcisnąć kabel HDMI do portu DisplayPort przy użyciu ogromnej siły.","pyt_11.webp",0
12,"Przed czyszczeniem wnętrza komputera stacjonarnego odłączasz go całkowicie od zasilania.","pyt_12.webp",1
13,"Zostawiasz włączonego laptopa na miękkiej kołdrze, zasłaniając wszystkie otwory wentylacyjne.","pyt_13.webp",0
14,"Zabezpieczasz kable sieciowe w serwerowni opaskami na rzepy, aby uniknąć totalnej plątaniny.","pyt_14.webp",1
15,"Podłączasz 10 urządzeń o bardzo dużej mocy do jednego starego i cienkiego przedłużacza.","pyt_15.webp",0
16,"Regularnie wydmuchujesz kurz z radiatorów i wentylatorów przy użyciu sprężonego powietrza.","pyt_16.webp",1
17,"Wyrzucasz stary, firmowy dysk twardy prosto do kosza na śmieci bez wcześniejszego wymazania i zniszczenia danych.","pyt_17.webp",0
18,"Używasz zasilacza UPS, aby chronić cenny sprzęt przed nagłymi przerwami w dostawie prądu.","pyt_18.webp",1
19,"Wtyczka kabla sieciowego RJ45 ma wyłamany plastikowy klips, ale trzyma się na słowo honoru.","pyt_19.webp",0
20,"Zakładasz opaskę antystatyczną podczas wymiany kości pamięci RAM w nowej płycie głównej.","pyt_20.webp",1
21,"Pushujesz nowy, niesprawdzony kod prosto na produkcję w piątek o godzinie 16:55.","pyt_21.webp",0
22,"Robisz regularne commity z jasnymi i zrozumiałymi opisami w systemie kontroli wersji.","pyt_22.webp",1
23,"Nazywasz kluczowe zmienne literami ""a"", ""b"", ""c"" i ""x1"" w całym wielkim projekcie korporacyjnym.","pyt_23.webp",0
24,"Korzystasz z Dockera, aby zapewnić w pełni spójne środowisko developerskie dla całego zespołu.","pyt_24.webp",1
25,"Przechowujesz hasła do bazy danych w jawnym tekście w publicznym repozytorium na GitHubie.","pyt_25.webp",0
26,"Przed wysłaniem logów z błędem do pomocy technicznej, starannie usuwasz z nich wszystkie hasła i dane osobowe klientów.","pyt_26.webp",1
27,"Ufasz na ślepo danym wpisanym przez użytkownika i łączysz je bezpośrednio w zapytaniach do bazy danych, ryzykując atakiem SQL Injection.","pyt_27.webp",0
28,"Używasz ciemnego motywu w swoim edytorze kodu podczas nocnego maratonu programowania.","pyt_28.webp",1
29,"Kopiujesz niezrozumiały skrypt z losowego forum w sieci i od razu uruchamiasz go w swojej konsoli z uprawnieniami administratora.","pyt_29.webp",0
30,"Piszesz jednostkowe testy automatyczne przed oddaniem ważnej funkcjonalności do sprawdzenia.","pyt_30.webp",1
31,"Firmowa szafa rackowa wygląda jak gigantyczna miska splątanego, kolorowego makaronu spaghetti.","pyt_31.webp",0
32,"Masz na biurku żółtą, gumową kaczuszkę, której tłumaczysz linijka po linijce swój zepsuty kod.","pyt_32.webp",1
33,"Szukając pomocy na publicznym forum programistycznym, wklejasz zrzut ekranu kodu, na którym wyraźnie widać prywatne klucze API twojej aplikacji.","pyt_33.webp",0
34,"Widzisz idealnie uporządkowaną serwerownię, gdzie każdy kabel jest starannie opisany i oflagowany.","pyt_34.webp",1
35,"Używasz głośnej, mechanicznej klawiatury z niebieskimi przełącznikami w zatłoczonym open space.","pyt_35.webp",0
36,"Pamiętasz, że najlepszym pierwszym krokiem w naprawie komputera jest komunikat ""Spróbuj wyłączyć i włączyć ponownie"".","pyt_36.webp",1
37,"Ktoś z działu HR mówi ci prosto w twarz, że HTML to przecież jego ulubiony język programowania.","pyt_37.webp",0
38,"Piątkowe popołudnie w biurze to zarezerwowany czas na wspólną integrację i granie w planszówki.","pyt_38.webp",1
39,"Szef każe ci natychmiast naprawić zaciętą drukarkę, bo przecież jesteś z zawodu programistą.","pyt_39.webp",0
40,"Odkrywasz kubek z niedopitą kawą sprzed trzech tygodni zapomniany gdzieś za twoim monitorem.","pyt_40.webp",0
